=== Restore-All from Backup ===
Vault:   C:\Users\Sean\Documents\SecondBrain
Backup:  C:\Users\Sean\Documents\SecondBrain.zip
Time:    05/18/2026 16:10:38

Zip root: SecondBrain

[RESTORED] (9709 bytes)  CLAUDE (Conflicted Copy 2026-05-11T15-39).md
[RESTORED] (2301 bytes)  Untitled (Conflicted Copy 2026-05-11T15-39).md
[RESTORED] (137 bytes)  Untitled 1.md
[RESTORED] (22 bytes)  Untitled 2.md
[RESTORED] (1780 bytes)  .obsidian\hotkeys.json
[RESTORED] (728 bytes)  .obsidian\plugins\anysocket-sync\data.json
[RESTORED] (236684 bytes)  .obsidian\plugins\anysocket-sync\main.js
[RESTORED] (254 bytes)  .obsidian\plugins\anysocket-sync\manifest.json
[RESTORED] (8007031 bytes)  .obsidian\plugins\anysocket-sync\metadata.json
[RESTORED] (7373 bytes)  .obsidian\plugins\anysocket-sync\styles.css
[RESTORED] (2 bytes)  .obsidian\plugins\anysocket-sync\sync-delete-queue.json
[RESTORED] (122 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f2e7374666f6c6465722f73796e637468696e672d666f6c6465722d3765346165662e747874.md
[RESTORED] (33 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f6261636b6c696e6b2e6a736f6e.md
[RESTORED] (639 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f626f6f6b6d61726b732e6a736f6e.md
[RESTORED] (81 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f63616e7661732e6a736f6e.md
[RESTORED] (637 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f636f72652d706c7567696e732d6d6967726174696f6e2e6a736f6e.md
[RESTORED] (698 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f636f72652d706c7567696e732e6a736f6e.md
[RESTORED] (117 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f6461696c792d6e6f7465732e6a736f6e.md
[RESTORED] (74 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f676c6f62616c2d7365617263682e6a736f6e.md
[RESTORED] (1780 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f686f746b6579732e6a736f6e.md
[RESTORED] (21 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706167652d707265766965772e6a736f6e.md
